load_zone,fuel,period,fuel_cost
2028984,NaturalGas,2030,3.54
2028994,NaturalGas,2030,3.7
2028995,NaturalGas,2030,3.95
2029000,NaturalGas,2030,3.96
2029001,NaturalGas,2030,3.68
2029002,NaturalGas,2030,4.2
2029004,NaturalGas,2030,3.72
2029006,NaturalGas,2030,3.66
2029007,NaturalGas,2030,3.65
2029010,NaturalGas,2030,4.4
2029011,NaturalGas,2030,3.94
2029013,NaturalGas,2030,4.21
2029018,NaturalGas,2030,3.71
2029019,NaturalGas,2030,4.08
2029020,NaturalGas,2030,4.02
2029025,NaturalGas,2030,5.19
2029027,NaturalGas,2030,3.86
2029028,NaturalGas,2030,4.08
2029029,NaturalGas,2030,4.02
2029030,NaturalGas,2030,4.14
2029031,NaturalGas,2030,3.15
2029032,NaturalGas,2030,3.54
2029042,NaturalGas,2030,4.6
2029043,NaturalGas,2030,3.99
2029044,NaturalGas,2030,3.56
2029059,NaturalGas,2030,3.5
2029060,NaturalGas,2030,3.73
2029075,NaturalGas,2030,3.78
2029076,NaturalGas,2030,3.88
2029083,NaturalGas,2030,3.45
2029084,NaturalGas,2030,4.34
2030281,NaturalGas,2030,4.43
2030297,NaturalGas,2030,4.85
2030298,NaturalGas,2030,4.31
2030299,NaturalGas,2030,4.27
2030300,NaturalGas,2030,3.77
2030301,NaturalGas,2030,4.38
2030306,Coal,2030,2.61
2030316,Coal,2030,2.38
2030317,Coal,2030,2.69
2030323,NaturalGas,2030,4.32
2030332,NaturalGas,2030,4.26
2030342,NaturalGas,2030,4.41
2030343,NaturalGas,2030,4.21
2030344,NaturalGas,2030,4.67
2030347,Coal,2030,2.34
2030349,NaturalGas,2030,4.04
2030350,NaturalGas,2030,4.35
2030372,NaturalGas,2030,4.82
2030373,NaturalGas,2030,4.72
2030374,NaturalGas,2030,3.93
2030375,NaturalGas,2030,4.32
2030376,NaturalGas,2030,3.92
2030377,NaturalGas,2030,4.37
2030379,NaturalGas,2030,4.52
2030390,NaturalGas,2030,4.1
2030391,NaturalGas,2030,4.32
2030392,NaturalGas,2030,3.86
2030393,NaturalGas,2030,4.28
2030394,NaturalGas,2030,4.18
2030395,NaturalGas,2030,4.51
2030396,NaturalGas,2030,4.2
2030397,NaturalGas,2030,4.76
2030404,NaturalGas,2030,3.63
2030405,NaturalGas,2030,4.46
2030406,NaturalGas,2030,4.0
2030407,NaturalGas,2030,4.25
2030408,NaturalGas,2030,4.73
2030409,NaturalGas,2030,4.42
2030410,NaturalGas,2030,3.91
2030411,NaturalGas,2030,4.34
2030412,NaturalGas,2030,4.37
2030413,NaturalGas,2030,4.6
2030414,NaturalGas,2030,4.78
2030415,NaturalGas,2030,4.33
2030421,NaturalGas,2030,5.03
2030422,NaturalGas,2030,4.72
2030423,NaturalGas,2030,4.29
2030428,NaturalGas,2030,4.46
2030429,NaturalGas,2030,4.42
2030441,NaturalGas,2030,4.22
2030442,NaturalGas,2030,4.36
2030443,NaturalGas,2030,4.02
2030460,NaturalGas,2030,4.19
2030461,NaturalGas,2030,4.23
2040695,NaturalGas,2030,4.16
2040696,NaturalGas,2030,4.76
2040697,NaturalGas,2030,4.3
2040703,NaturalGas,2030,4.27
2040706,NaturalGas,2030,4.14
2040707,NaturalGas,2030,4.12
2040708,NaturalGas,2030,4.25
2040709,NaturalGas,2030,4.04
2040710,NaturalGas,2030,3.66
2040722,NaturalGas,2030,4.24
2040723,NaturalGas,2030,4.46
2040728,Coal,2030,2.47
2040739,NaturalGas,2030,4.57
2040740,NaturalGas,2030,4.25
2040741,NaturalGas,2030,4.61
2040742,NaturalGas,2030,4.2
2040743,NaturalGas,2030,4.43
2040744,NaturalGas,2030,4.17
2040745,NaturalGas,2030,4.1
2040756,NaturalGas,2030,4.3
2040757,NaturalGas,2030,4.52
2040758,NaturalGas,2030,4.33
2040763,Coal,2030,2.53
2040764,Coal,2030,2.5
2040768,Coal,2030,2.65
2040769,Coal,2030,2.42
2040770,Coal,2030,2.22
2040771,Coal,2030,2.46
2040772,Coal,2030,2.04
2040773,Coal,2030,2.69
2040786,Coal,2030,2.27
2040787,Coal,2030,1.99
2040788,Coal,2030,2.42
2040797,NaturalGas,2030,4.53
2040798,NaturalGas,2030,4.46
2040799,NaturalGas,2030,4.63
2040800,NaturalGas,2030,4.59
2040801,NaturalGas,2030,4.35
2040802,NaturalGas,2030,4.06
2040803,NaturalGas,2030,3.57
2040804,NaturalGas,2030,4.43
2040806,NaturalGas,2030,4.21
2040813,NaturalGas,2030,3.83
2040814,NaturalGas,2030,4.03
2040815,NaturalGas,2030,4.16
2040816,NaturalGas,2030,4.23
2040817,NaturalGas,2030,4.44
2040818,NaturalGas,2030,3.89
2040824,NaturalGas,2030,4.52
2040825,NaturalGas,2030,4.18
2040826,NaturalGas,2030,4.14
2040827,NaturalGas,2030,4.34
2040828,NaturalGas,2030,4.36
2040829,NaturalGas,2030,4.11
2040836,NaturalGas,2030,4.85
2040837,NaturalGas,2030,4.17
2040838,NaturalGas,2030,3.98
2040843,Uranium,2030,1.0
2040844,Uranium,2030,1.0
2040845,Uranium,2030,1.0
2040854,Coal,2030,1.83
2040855,Coal,2030,2.19
2040856,Coal,2030,2.21
2040857,Coal,2030,2.32
2040858,Coal,2030,1.75
2040859,Coal,2030,2.29
2040861,NaturalGas,2030,4.26
2040863,NaturalGas,2030,4.2
2040865,NaturalGas,2030,4.11
2040868,NaturalGas,2030,4.15
2040869,NaturalGas,2030,4.26
2040870,NaturalGas,2030,3.86
2040871,NaturalGas,2030,3.54
2040878,Coal,2030,2.38
2040879,Coal,2030,3.08
2040880,Coal,2030,2.47
2040881,Coal,2030,2.04
2040884,NaturalGas,2030,4.43
2040885,NaturalGas,2030,4.21
2040886,NaturalGas,2030,4.24
2040887,NaturalGas,2030,4.16
2040888,NaturalGas,2030,4.36
2040889,NaturalGas,2030,4.3
2040892,NaturalGas,2030,4.34
2040893,NaturalGas,2030,4.15
2040894,NaturalGas,2030,4.03
2040895,NaturalGas,2030,3.93
2040896,NaturalGas,2030,4.42
2040897,NaturalGas,2030,4.37
2040903,NaturalGas,2030,4.07
2040904,NaturalGas,2030,4.1
2040905,NaturalGas,2030,3.74
2040906,NaturalGas,2030,4.14
2040907,NaturalGas,2030,4.14
2040908,NaturalGas,2030,4.42
2040912,NaturalGas,2030,4.33
2040913,NaturalGas,2030,3.81
2040914,NaturalGas,2030,4.46
2040915,NaturalGas,2030,3.82
2040916,NaturalGas,2030,4.03
2040917,NaturalGas,2030,4.05
2040934,Coal,2030,2.08
2040935,Coal,2030,2.2
2040936,Coal,2030,2.54
2040937,Coal,2030,2.64
2040940,NaturalGas,2030,5.19
2040943,NaturalGas,2030,4.31
2040944,NaturalGas,2030,4.73
2040945,NaturalGas,2030,4.17
2040946,NaturalGas,2030,4.27
2040959,NaturalGas,2030,3.56
2040960,NaturalGas,2030,3.5
2040961,NaturalGas,2030,4.07
2040962,NaturalGas,2030,4.57
2040963,NaturalGas,2030,4.2
2040964,NaturalGas,2030,4.53
2040969,NaturalGas,2030,3.98
2040970,NaturalGas,2030,4.25
2040971,NaturalGas,2030,4.18
2040972,NaturalGas,2030,4.16
2040973,NaturalGas,2030,4.0
2040974,NaturalGas,2030,4.18
2040993,NaturalGas,2030,4.49
2040994,NaturalGas,2030,4.43
2040995,NaturalGas,2030,4.54
2041000,NaturalGas,2030,4.44
2041001,NaturalGas,2030,4.56
2041002,NaturalGas,2030,4.54
2041009,NaturalGas,2030,4.26
2041010,NaturalGas,2030,3.9
2041011,NaturalGas,2030,4.2
2050360,NaturalGas,2030,3.84
2050361,NaturalGas,2030,4.11
2050362,NaturalGas,2030,4.01
2050363,NaturalGas,2030,3.91
2050364,NaturalGas,2030,4.07
2050365,NaturalGas,2030,3.37
2050366,NaturalGas,2030,3.5
2050367,Coal,2030,1.89
2050369,NaturalGas,2030,3.78
2050374,NaturalGas,2030,3.8
2050375,NaturalGas,2030,3.83
2050376,NaturalGas,2030,3.18
2050382,Coal,2030,1.52
2050385,Coal,2030,1.65
2050386,Coal,2030,1.9
2050387,Coal,2030,2.0
2050397,Coal,2030,2.24
2050398,Coal,2030,1.96
2050399,Coal,2030,1.83
2050402,NaturalGas,2030,3.81
2050403,NaturalGas,2030,3.7
2050404,NaturalGas,2030,3.2
2050412,NaturalGas,2030,3.56
2050413,NaturalGas,2030,3.49
2050418,Coal,2030,2.33
2050419,Coal,2030,2.02
2050424,NaturalGas,2030,3.29
2050437,NaturalGas,2030,3.7
2050440,Coal,2030,1.69
2050441,Coal,2030,2.0
2050442,Coal,2030,1.79
2050443,NaturalGas,2030,3.3
2050448,Coal,2030,1.86
2050449,Coal,2030,2.6
2050451,NaturalGas,2030,3.34
2050457,NaturalGas,2030,3.78
2053215,Coal,2030,2.8
2053216,Coal,2030,2.81
2053217,Coal,2030,2.6
2053218,Coal,2030,2.65
2053233,Coal,2030,1.93
2053236,Coal,2030,2.48
2053241,NaturalGas,2030,3.88
2053242,NaturalGas,2030,3.56
2053243,NaturalGas,2030,4.01
2053244,NaturalGas,2030,3.73
2053246,NaturalGas,2030,3.39
2053248,NaturalGas,2030,3.93
2053253,NaturalGas,2030,3.63
2053254,NaturalGas,2030,3.81
2053255,NaturalGas,2030,3.66
2053261,NaturalGas,2030,3.42
2053268,NaturalGas,2030,3.44
2053269,NaturalGas,2030,3.62
2053279,NaturalGas,2030,3.68
2053284,NaturalGas,2030,3.88
2053285,NaturalGas,2030,3.95
2053288,NaturalGas,2030,4.31
2053289,NaturalGas,2030,3.46
2053292,NaturalGas,2030,3.3
2053293,NaturalGas,2030,3.5
2053297,Coal,2030,2.11
2053298,Coal,2030,2.73
2053303,NaturalGas,2030,3.59
2053305,NaturalGas,2030,3.66
2060635,NaturalGas,2030,4.34
2060662,Coal,2030,2.03
2060663,Coal,2030,1.58
2060664,Coal,2030,1.94
2060670,NaturalGas,2030,4.18
2060677,Coal,2030,1.55
2060678,Coal,2030,1.84
2060679,Coal,2030,1.94
2060686,NaturalGas,2030,4.35
2060687,NaturalGas,2030,4.73
2060688,NaturalGas,2030,4.3
2060689,NaturalGas,2030,4.75
2060690,NaturalGas,2030,4.44
2060691,NaturalGas,2030,4.67
2060692,NaturalGas,2030,4.17
2060695,NaturalGas,2030,4.46
2060696,Coal,2030,2.06
2060707,Coal,2030,1.93
2060708,Coal,2030,1.61
2060716,NaturalGas,2030,4.33
2060717,NaturalGas,2030,4.38
2060727,Coal,2030,1.22
2060728,Coal,2030,1.8
2060729,Coal,2030,1.52
2060730,Coal,2030,1.42
2060731,NaturalGas,2030,4.34
2060732,NaturalGas,2030,4.49
2060734,Coal,2030,1.62
2060735,Coal,2030,1.76
2060751,Coal,2030,1.68
2060752,NaturalGas,2030,4.05
2060763,NaturalGas,2030,4.51
2060764,NaturalGas,2030,4.86
2060766,NaturalGas,2030,4.46
2060773,NaturalGas,2030,4.27
2060775,Coal,2030,1.58
2060776,Coal,2030,2.14
2060788,NaturalGas,2030,4.15
2060789,NaturalGas,2030,4.18
2060791,NaturalGas,2030,4.58
2060792,NaturalGas,2030,4.26
2060793,NaturalGas,2030,4.66
2060794,NaturalGas,2030,4.48
2060795,NaturalGas,2030,3.78
2060810,NaturalGas,2030,3.94
2060814,NaturalGas,2030,4.77
2060815,NaturalGas,2030,4.77
2060825,NaturalGas,2030,4.42
2060833,NaturalGas,2030,3.65
2060834,NaturalGas,2030,3.81
2060835,NaturalGas,2030,4.42
2060839,NaturalGas,2030,5.15
2060840,NaturalGas,2030,4.54
2060841,NaturalGas,2030,4.11
2060844,NaturalGas,2030,4.55
2060847,NaturalGas,2030,4.53
2060848,NaturalGas,2030,4.07
2060850,NaturalGas,2030,4.23
2060851,NaturalGas,2030,4.36
2060852,Coal,2030,1.79
2060861,NaturalGas,2030,4.31
2060862,NaturalGas,2030,4.67
2060872,Coal,2030,1.54
2060873,Coal,2030,1.72
2060874,Coal,2030,1.78
2060881,NaturalGas,2030,4.79
2060882,NaturalGas,2030,3.98
2060883,NaturalGas,2030,4.39
2060891,Coal,2030,2.06
2060892,Coal,2030,1.87
2060893,Coal,2030,1.61
2060894,Coal,2030,1.64
2060895,Coal,2030,1.28
2060896,Coal,2030,1.68
2070097,Coal,2030,3.83
2070098,Coal,2030,3.07
2070099,Coal,2030,3.94
2070100,Coal,2030,3.98
2070105,Coal,2030,3.62
2070110,Coal,2030,3.5
2070121,Coal,2030,3.38
2070125,Coal,2030,3.36
2070126,Coal,2030,3.19
2070127,Coal,2030,3.62
2070134,Coal,2030,3.71
2070141,NaturalGas,2030,5.11
2070142,NaturalGas,2030,5.59
2070144,NaturalGas,2030,5.36
2070147,Coal,2030,3.63
2070153,Coal,2030,3.79
2070154,Coal,2030,3.76
2070155,Coal,2030,3.53
2070156,Coal,2030,3.01
2070167,NaturalGas,2030,5.42
2070172,Coal,2030,3.26
2070173,Coal,2030,3.45
2070174,Coal,2030,3.91
2070176,Coal,2030,2.98
2070184,Coal,2030,3.82
2070188,NaturalGas,2030,5.76
2070189,NaturalGas,2030,5.15
2074204,NaturalGas,2030,3.52
2074205,NaturalGas,2030,3.25
2074211,NaturalGas,2030,3.43
2074212,NaturalGas,2030,3.11
2074223,NaturalGas,2030,3.36
2074240,NaturalGas,2030,3.28
2074328,NaturalGas,2030,3.18
2074329,NaturalGas,2030,3.36
2077195,NaturalGas,2030,3.73
2077196,NaturalGas,2030,3.49
2077197,NaturalGas,2030,4.06
2077199,Coal,2030,2.51
2077213,Coal,2030,1.92
2077248,Coal,2030,1.97
2077258,Coal,2030,2.41
2077259,Coal,2030,1.78
2077260,Coal,2030,2.11
2077261,Coal,2030,1.87
2077264,NaturalGas,2030,3.81
2077286,Coal,2030,1.91
2077290,NaturalGas,2030,4.03
2080085,NaturalGas,2030,3.44
2080091,NaturalGas,2030,3.35
2080092,NaturalGas,2030,4.07
2080093,NaturalGas,2030,3.66
2080094,NaturalGas,2030,3.83
2080095,NaturalGas,2030,3.77
2080096,NaturalGas,2030,3.43
2080097,NaturalGas,2030,3.68
2080098,NaturalGas,2030,3.7
2080099,NaturalGas,2030,3.24
